author_hash,timestamp,lang,is_reply,has_embed,has_image
c4ebb793604e,2026-06-10 11:00:03.751318+00:00,de,False,False,False
0a71b80a872b,2026-06-10 11:00:03.802496+00:00,en,False,False,False
04b0d235c0de,2026-06-10 11:00:03.848933+00:00,,False,False,False
f3dba229b577,2026-06-10 11:00:04.019363+00:00,ja,False,True,True
4772d1d57faf,2026-06-10 11:00:04.516206+00:00,en,True,False,False
3dc46e2d3bc3,2026-06-10 11:00:04.915121+00:00,en,True,False,False
cf1f577d3165,2026-06-10 11:00:05.332463+00:00,en,False,False,False
820196740336,2026-06-10 11:00:05.844669+00:00,fr,True,False,False
575d4ef72863,2026-06-10 11:00:05.971141+00:00,en,True,False,False
f215747ae3bb,2026-06-10 11:00:06.148358+00:00,,False,True,True
b61c56468500,2026-06-10 11:00:06.342337+00:00,,False,False,False
50a84b9de319,2026-06-10 11:00:06.430689+00:00,,False,True,True
487cfe399068,2026-06-10 11:00:06.688105+00:00,ne,False,False,False
632b37dfa94b,2026-06-10 11:00:06.820232+00:00,,False,False,False
53d78dae4d27,2026-06-10 11:00:07.001168+00:00,,False,True,True
1fdeebd5b706,2026-06-10 11:00:07.190395+00:00,en,False,False,False
9939132b4ca2,2026-06-10 11:00:07.531019+00:00,,False,True,False
eabfa42ba79d,2026-06-10 11:00:08.167576+00:00,en,False,True,False
9ceb53563ecc,2026-06-10 11:00:08.204645+00:00,,False,True,True
443e01f616c1,2026-06-10 11:00:08.247041+00:00,,False,True,False
f5f68ab1bafa,2026-06-10 11:00:08.650195+00:00,,False,True,False
72ac683e9092,2026-06-10 11:00:09.289639+00:00,,False,False,False
9e02cab2fb1c,2026-06-10 11:00:09.385657+00:00,ja,True,False,False
a5279a07fa4c,2026-06-10 11:00:09.509111+00:00,en,False,True,False
fada1eec8e5f,2026-06-10 11:00:09.818486+00:00,en,True,True,False
1dc8d79491da,2026-06-10 11:00:10.207736+00:00,en,False,True,False
b7fa950361f2,2026-06-10 11:00:10.305546+00:00,,False,True,True
a1dab60bb78a,2026-06-10 11:00:10.724123+00:00,ja,False,False,False
0c969bbb619d,2026-06-10 11:00:11.275194+00:00,,False,False,False
490856d21857,2026-06-10 11:00:11.332712+00:00,,False,False,False
ae4ed46abcca,2026-06-10 11:00:11.546202+00:00,fr-FR,False,True,False
f7aa34331af4,2026-06-10 11:00:11.624378+00:00,,False,True,True
70dd1047248b,2026-06-10 11:00:11.926903+00:00,ja-JP,False,True,False
d966f0d3d2c4,2026-06-10 11:00:12.816723+00:00,,False,True,True
0d07ecd2d776,2026-06-10 11:00:12.932161+00:00,,False,True,False
5e6a978ee55e,2026-06-10 11:00:13.517336+00:00,en,False,True,True
f0c81218798c,2026-06-10 11:00:14.254960+00:00,ko,False,False,False
5bc573432deb,2026-06-10 11:00:14.533558+00:00,ja,False,True,True
7759bdd103a1,2026-06-10 11:00:14.539159+00:00,,True,False,False
ccd379e2e4cc,2026-06-10 11:00:14.553921+00:00,,False,True,False
5828a648fead,2026-06-10 11:00:14.758056+00:00,de-DE,False,True,False
7c5a43526045,2026-06-10 11:00:15.071487+00:00,,False,True,True
70d7b24e3b25,2026-06-10 11:00:15.253818+00:00,de,True,False,False
a197abe9e041,2026-06-10 11:00:15.573326+00:00,ja,False,False,False
537d48d6f9e1,2026-06-10 11:00:15.672073+00:00,,False,True,True
fd56e6bfc12f,2026-06-10 11:00:16.196445+00:00,en,False,False,False
94d051be81b4,2026-06-10 11:00:16.216249+00:00,ja,False,False,False
96fe20797c05,2026-06-10 11:00:16.236383+00:00,,False,True,True
aceb19c0133d,2026-06-10 11:00:16.851913+00:00,,False,True,False
5da7927473dc,2026-06-10 11:00:16.914356+00:00,en,False,False,False
09c816d07d8d,2026-06-10 11:00:17.021525+00:00,en-US,False,True,False
ee6698246715,2026-06-10 11:00:17.211630+00:00,ja,True,False,False
6c0730f12511,2026-06-10 11:00:17.274208+00:00,en,False,True,True
71bdfadd18d3,2026-06-10 11:00:17.552694+00:00,,False,True,True
c0b86e6dae81,2026-06-10 11:00:17.633592+00:00,en,False,True,True
f1bfede5ab13,2026-06-10 11:00:17.754529+00:00,pt-PT,False,True,False
b7f9945f6f40,2026-06-10 11:00:17.849102+00:00,en-US,False,True,False
fa3bc4efca6e,2026-06-10 11:00:17.973130+00:00,,False,True,False
42520bcbab87,2026-06-10 11:00:18.150243+00:00,ja,False,False,False
487212216ba8,2026-06-10 11:00:18.273632+00:00,ja,False,False,False
6754bc219fab,2026-06-10 11:00:18.327144+00:00,nl,True,False,False
80d72029ada3,2026-06-10 11:00:18.395823+00:00,fr,True,True,False
b36aa65df04e,2026-06-10 11:00:18.573266+00:00,en,True,True,True
ef83cf7dd54f,2026-06-10 11:00:18.597752+00:00,,True,False,False
bdff918413f7,2026-06-10 11:00:18.914932+00:00,ja,False,True,True
e924ab933b63,2026-06-10 11:00:19.089916+00:00,,False,True,False
22e835930d2e,2026-06-10 11:00:19.309905+00:00,ja,False,False,False
727c98badde2,2026-06-10 11:00:19.371254+00:00,en,False,True,False
cc781867d218,2026-06-10 11:00:19.515701+00:00,en,False,True,True
cd3f0195a4ce,2026-06-10 11:00:19.542059+00:00,en,False,True,True
f1ced73e3e7c,2026-06-10 11:00:19.605333+00:00,en,False,True,False
b735ca71f3f6,2026-06-10 11:00:19.910511+00:00,en,False,True,False
abea590d5bcf,2026-06-10 11:00:20.503534+00:00,en,True,False,False
260b24933509,2026-06-10 11:00:20.609685+00:00,nl,False,True,False
b1b605503180,2026-06-10 11:00:20.800329+00:00,de,True,False,False
c143a59b902f,2026-06-10 11:00:21.167528+00:00,,False,True,False
e735b79cce0a,2026-06-10 11:00:21.258815+00:00,,False,True,False
06041a7a01e6,2026-06-10 11:00:21.429770+00:00,en,False,True,False
a82cff47500c,2026-06-10 11:00:21.569300+00:00,it-IT,False,True,False
9a6966ce1556,2026-06-10 11:00:21.755615+00:00,lt-LT,False,True,False
0feb0e440bd0,2026-06-10 11:00:21.773429+00:00,en,False,True,False
a57005f58c66,2026-06-10 11:00:21.798321+00:00,en,False,True,False
517a1df7a825,2026-06-10 11:00:21.849805+00:00,en,False,False,False
1e4ac320ecf6,2026-06-10 11:00:21.975842+00:00,,False,True,False
0d3cda02d307,2026-06-10 11:00:22.386170+00:00,en-US,False,True,False
57f9ac37a7d4,2026-06-10 11:00:22.548867+00:00,en,False,True,True
d90f178b9c2d,2026-06-10 11:00:23.223663+00:00,en-US,False,True,False
d782fa61e58a,2026-06-10 11:00:23.475651+00:00,,False,True,True
7caf112e4779,2026-06-10 11:00:23.605499+00:00,,False,True,False
1aed7d4edc8b,2026-06-10 11:00:23.881705+00:00,en,True,True,False
96a908a711a5,2026-06-10 11:00:24.104350+00:00,en,True,False,False
0feb0e440bd0,2026-06-10 11:00:24.145736+00:00,en,False,True,False
9cf1b830bed0,2026-06-10 11:00:24.474868+00:00,en,False,True,False
b9aefb56ac90,2026-06-10 11:00:24.508163+00:00,ja,False,False,False
20df0e86550f,2026-06-10 11:00:24.522725+00:00,en,False,False,False
e5b538e467f6,2026-06-10 11:00:24.877978+00:00,en,True,False,False
4a6fc961ef8d,2026-06-10 11:00:25.096568+00:00,pt,True,False,False
72fcbaefaa58,2026-06-10 11:00:25.455419+00:00,,False,True,True
09c816d07d8d,2026-06-10 11:00:25.599429+00:00,en-US,False,True,False
73d478f57df4,2026-06-10 11:00:25.788394+00:00,fr,True,False,False
f945352a5a7e,2026-06-10 11:00:25.817253+00:00,ja,False,False,False
a70f93399acb,2026-06-10 11:00:26.095549+00:00,sv-SE,False,True,False
707e1b15ebaa,2026-06-10 11:00:26.499632+00:00,de,False,True,False
2411093b15c0,2026-06-10 11:00:27.056369+00:00,en-US,False,True,False
3693836693f4,2026-06-10 11:00:27.141003+00:00,en-US,False,True,False
2d90f6465f16,2026-06-10 11:00:27.574779+00:00,,False,True,False
564cbe6c9975,2026-06-10 11:00:28.089442+00:00,tr,False,True,False
02f0b4cb1d38,2026-06-10 11:00:28.838951+00:00,ja,False,True,True
76f4fc86d7fc,2026-06-10 11:00:29.021119+00:00,,False,True,False
0cc0b4a0e40a,2026-06-10 11:00:29.778679+00:00,pt,True,True,False
f281dad40793,2026-06-10 11:00:29.802123+00:00,,False,False,False
d3b904010476,2026-06-10 11:00:30.193256+00:00,ko,False,False,False
8db28f320b79,2026-06-10 11:00:30.222104+00:00,ar,True,False,False
025e3be4813a,2026-06-10 11:00:30.486922+00:00,,False,True,True
00e3b8e13729,2026-06-10 11:00:30.812482+00:00,nb-NO,False,True,False
0feb0e440bd0,2026-06-10 11:00:31.186972+00:00,en,False,True,False
ffa617eb9c1e,2026-06-10 11:00:32.598859+00:00,en,False,True,False
2a78d0537739,2026-06-10 11:00:32.697856+00:00,ja,False,False,False
4e97a7b235c9,2026-06-10 11:00:32.702679+00:00,en,False,True,False
b5d508fd6c8a,2026-06-10 11:00:33.060697+00:00,en,False,True,True
340efc6b2d13,2026-06-10 11:00:33.107678+00:00,ja,False,False,False
273f006703bf,2026-06-10 11:00:33.401365+00:00,,False,False,False
db9f81731278,2026-06-10 11:00:33.408563+00:00,,False,True,False
abc3ffb5d05b,2026-06-10 11:00:33.507875+00:00,en,False,True,True
a97f4b2da5bf,2026-06-10 11:00:33.798963+00:00,pl,True,False,False
509973670af5,2026-06-10 11:00:34.004830+00:00,ja,False,True,True
2e8ef1053b40,2026-06-10 11:00:34.043522+00:00,en,False,True,True
d367efc94764,2026-06-10 11:00:34.083887+00:00,,False,True,False
b84fe54566c3,2026-06-10 11:00:34.355064+00:00,en,True,False,False
903e34a93079,2026-06-10 11:00:34.540430+00:00,zh,False,True,True
ded1ae8b9759,2026-06-10 11:00:34.559173+00:00,,False,False,False
08a2d8389ae9,2026-06-10 11:00:35.124481+00:00,en,True,False,False
08eecc7f1c86,2026-06-10 11:00:36.035369+00:00,ja,False,True,True
8748440ca265,2026-06-10 11:00:36.203381+00:00,en,False,True,False
00b7716fba69,2026-06-10 11:00:36.280452+00:00,en,True,False,False
0feb0e440bd0,2026-06-10 11:00:36.585469+00:00,en,False,True,False
b293d8b5b7f4,2026-06-10 11:00:37.608279+00:00,en,False,True,False
b3c7914ee3d9,2026-06-10 11:00:37.699361+00:00,ja,False,False,False
b8778cbd7cd3,2026-06-10 11:00:38.308614+00:00,en,True,False,False
5583dd006ba1,2026-06-10 11:00:38.756298+00:00,pl-PL,False,True,False
e790e56a8db3,2026-06-10 11:00:38.796978+00:00,en,False,False,False
e68f361ed34b,2026-06-10 11:00:39.112850+00:00,,False,True,False
b7f9945f6f40,2026-06-10 11:00:39.203328+00:00,en-US,False,True,False
96f2108b4482,2026-06-10 11:00:39.950582+00:00,ja,False,False,False
a82cff47500c,2026-06-10 11:00:39.957927+00:00,it-IT,False,True,False
14fcdbee46bb,2026-06-10 11:00:40.233338+00:00,,False,True,True
ad693e3855a0,2026-06-10 11:00:40.717461+00:00,ja,True,False,False
f6313da48089,2026-06-10 11:00:41.637551+00:00,es-ES,False,True,False
a310d8268f09,2026-06-10 11:00:41.648319+00:00,it,True,False,False
1023123b9c26,2026-06-10 11:00:41.760534+00:00,en-US,False,True,False
4323882f5677,2026-06-10 11:00:41.944966+00:00,en,True,True,False
6f9e3292060d,2026-06-10 11:00:42.611146+00:00,en-US,False,True,False
2489ca3e6543,2026-06-10 11:00:42.816680+00:00,,False,True,False
64c89023f2f3,2026-06-10 11:00:42.880186+00:00,en,True,False,False
a82cff47500c,2026-06-10 11:00:43.201366+00:00,it-IT,False,True,False
6ac7f403472b,2026-06-10 11:00:43.505443+00:00,,False,True,False
eeb714178c3d,2026-06-10 11:00:44.186046+00:00,ja,False,False,False
f4401189db08,2026-06-10 11:00:45.352074+00:00,ru,False,False,False
b1df12534bde,2026-06-10 11:00:45.935280+00:00,,True,False,False
d39f49cfdc7d,2026-06-10 11:00:46.405586+00:00,pt,False,True,False
7f7ae880ebfc,2026-06-10 11:00:46.417722+00:00,en,False,True,True
1a6b63b4cd71,2026-06-10 11:00:46.708377+00:00,en,False,False,False
f6abcddca0e3,2026-06-10 11:00:47.189404+00:00,ja,False,False,False
42914049fd5a,2026-06-10 11:00:47.716813+00:00,ja-JP,False,True,False
54127516a01e,2026-06-10 11:00:48.247730+00:00,fi,False,True,False
be00e4a79d92,2026-06-10 11:00:48.687355+00:00,en,True,False,False
af825551c2e4,2026-06-10 11:00:48.718718+00:00,en,False,True,False
589a90107b9a,2026-06-10 11:00:49.784846+00:00,en,False,False,False
6045748e03f5,2026-06-10 11:00:50.018013+00:00,en,False,False,False
a32c46163aee,2026-06-10 11:00:51.201526+00:00,en,False,True,False
7281c6a380df,2026-06-10 11:00:51.685518+00:00,ru,False,True,True
af96ddc2ff8b,2026-06-10 11:00:52.326317+00:00,en,True,False,False
a28043b1bda5,2026-06-10 11:00:52.501798+00:00,en,False,True,True
e151f2c3d0ca,2026-06-10 11:00:53.509553+00:00,en,False,False,False
c34ae2916780,2026-06-10 11:00:53.541292+00:00,en,False,True,False
c19b6cf2a48a,2026-06-10 11:00:53.639837+00:00,en,True,False,False
98a9426cc771,2026-06-10 11:00:53.718600+00:00,en,False,False,False
b3a4063ad044,2026-06-10 11:00:54.290600+00:00,ja,False,True,True
9f056afcf1ee,2026-06-10 11:00:54.349792+00:00,,True,False,False
4893f939ddef,2026-06-10 11:00:54.715598+00:00,,False,True,False
54ac766ee1f6,2026-06-10 11:00:56.115041+00:00,en,False,True,False
7e7b6379f417,2026-06-10 11:00:57.284544+00:00,,False,True,True
b990acbc32cc,2026-06-10 11:00:57.461628+00:00,en,False,True,True
42914049fd5a,2026-06-10 11:00:57.937343+00:00,ja-JP,False,True,False
885407673088,2026-06-10 11:00:58.024284+00:00,,False,True,False
db44384c7170,2026-06-10 11:00:58.293052+00:00,en,False,True,True
bc6a871e34fd,2026-06-10 11:00:58.685250+00:00,ja,False,True,True
d2d5a4d4eb3f,2026-06-10 11:00:58.808619+00:00,,False,True,False
7f2d25e2fcbe,2026-06-10 11:00:59.613941+00:00,en,False,True,True
9b37432f91ff,2026-06-10 11:00:59.639834+00:00,en,True,False,False
7f2d25e2fcbe,2026-06-10 11:00:59.785394+00:00,en,True,False,False
e22f92d74515,2026-06-10 11:00:59.996886+00:00,ja,True,False,False
826c727aeea9,2026-06-10 11:01:00.092711+00:00,ja,False,False,False
f35746062626,2026-06-10 11:01:00.501214+00:00,,False,False,False
58f14fd3eb52,2026-06-10 11:01:01.085965+00:00,,False,False,False
727c98badde2,2026-06-10 11:01:01.248405+00:00,en,False,True,False
e3c2ef2f29e9,2026-06-10 11:01:01.551113+00:00,ja,True,False,False
ebc551989e2b,2026-06-10 11:01:02.387752+00:00,,False,False,False
7a308946b90a,2026-06-10 11:01:02.491968+00:00,en,True,False,False
518b239ce26c,2026-06-10 11:01:02.644571+00:00,,False,True,True
